Order ID,Order Date,Ship Date,Region,City,Category,Sub-Category,Product Name,Sales (₹),Quantity,Discount,Profit (₹)
IN-2024-001,01-08-2024,05-08-2024,South,Bangalore,Electronics,Mobiles,Samsung Galaxy S22,55999,3,0.05,8000
IN-2024-002,01-08-2024,05-08-2024,South,Bangalore,Electronics,Mobiles,Samsung Galaxy S22,55999,3,0.05,8000
IN-2024-003,02-08-2024,07-08-2024,South,Chennai,Furniture,Chairs,Spacewood Dining Chair,6999,2,0.1,900
IN-2024-004,02-08-2024,07-08-2024,South,Chennai,Furniture,Chairs,Spacewood Dining Chair,6999,4,0.1,1200
IN-2024-005,03-08-2024,08-08-2024,South,Hyderabad,Electronics,Appliances,IFB Microwave Oven,15499,1,0.1,2500
IN-2024-006,03-08-2024,08-08-2024,West,Mumbai,Electronics,Accessories,Boat Rockerz Headphones,1999,10,0.1,800
IN-2024-007,05-08-2024,10-08-2024,South,Cochin,Furniture,Sofas,Urban Ladder L-Shaped Sofa,44999,1,0.15,7000
IN-2024-008,18-08-2024,23-08-2024,West,Pune,Furniture,Chairs,Durian Premium Chair,8999,3,0.1,1200
IN-2024-009,01-09-2024,06-09-2024,South,Cochin,Furniture,Sofas,Urban Ladder L-Shaped Sofa,44999,1,0.15,7000
IN-2024-010,01-09-2024,06-09-2024,West,Pune,Furniture,Shelves,Godrej Wall Shelf,2599,3,0,650
IN-2024-011,02-09-2024,08-09-2024,South,Mysore,Electronics,Accessories,Boat Rockerz Headphones,1999,10,0.1,800
IN-2024-012,02-09-2024,08-09-2024,South,Coimbatore,Electronics,Laptops,HP Envy x360,74999,1,0.05,5000
IN-2024-013,05-09-2024,10-09-2024,South,Trivandrum,Office Supplies,Paper,JK Copier A4 Paper,250,200,0,400
IN-2024-014,05-09-2024,10-09-2024,East,Patna,Office Supplies,Paper,JK Copier A4 Paper,250,200,0,400
IN-2024-015,10-09-2024,15-09-2024,South,Mysore,Electronics,Mobiles,iPhone 14,79999,1,0.05,6000
IN-2024-016,12-09-2024,18-09-2024,South,Bangalore,Furniture,Tables,Urban Ladder Work Table,11499,2,0.1,2000
IN-2024-017,18-09-2024,24-09-2024,East,Bhubaneswar,Electronics,Appliances,Philips Air Fryer,12499,2,0.1,2000
IN-2024-018,20-09-2024,25-09-2024,South,Madurai,Office Supplies,Binders,Solo Ring Binder,499,30,0,300
